question,answer
"Какая сумма выплат по услуге Предоставлять меру социальной поддержки в виде ежемесячного пособия на ребенка-инвалида в возрасте до 18 лет из семьи, где оба законных представителя (единственный законный представитель) являются инвалидами I и(или) II групп, на приобретение товаров детского (подросткового) ассортимента, продуктов детского питания, специальных молочных продуктов?
","Ежемесячное пособие на ребенка-инв. из семьи, где оба родителя инв. I, II гр в 2023 году - 11969 руб."
"Кому не положено услуга Предоставлять меру социальной поддержки в виде ежемесячного пособия на ребенка-инвалида в возрасте до 18 лет из семьи, где оба законных представителя (единственный законный представитель) являются инвалидами I и(или) II групп, на приобретение товаров детского (подросткового) ассортимента, продуктов детского питания, специальных молочных продуктов?
","Гражданам, дети которых находятся на полном государственном обеспечении;
гражданам, лишенным родительских прав (ограниченных в родительских правах);
гражданам Российской Федерации, выехавшим на постоянное место жительства за пределы Российской Федерации."
"Какие документы удостоверяют личность по услуге Предоставлять меру социальной поддержки в виде ежемесячного пособия на ребенка-инвалида в возрасте до 18 лет из семьи, где оба законных представителя (единственный законный представитель) являются инвалидами I и(или) II групп, на приобретение товаров детского (подросткового) ассортимента, продуктов детского питания, специальных молочных продуктов?
","Паспорт гражданина РФ или временное удостоверение личности гражданина РФ, выдаваемое на период оформления паспорта (не должно быть просрочено)."
"Какие документы предоставить при обращении представителя по услуге Предоставлять меру социальной поддержки в виде ежемесячного пособия на ребенка-инвалида в возрасте до 18 лет из семьи, где оба законных представителя (единственный законный представитель) являются инвалидами I и(или) II групп, на приобретение товаров детского (подросткового) ассортимента, продуктов детского питания, специальных молочных продуктов?
","1. Документ, удостоверяющий личность доверенного лица по доверенности  2. Нотариально удостоверенная, приравненная к нотариально удостоверенной или удостоверенная организацией, в которой доверитель работает или учится, или администрацией стационарного лечебного учреждения, в котором он находится на излечении. Или простая письменная доверенность"
"Какие заявления брать у заявителя по услуге Предоставлять меру социальной поддержки в виде ежемесячного пособия на ребенка-инвалида в возрасте до 18 лет из семьи, где оба законных представителя (единственный законный представитель) являются инвалидами I и(или) II групп, на приобретение товаров детского (подросткового) ассортимента, продуктов детского питания, специальных молочных продуктов?
",Заявление о назначении выплаты.
"Какие дополнительно документы должен предоставить заявитель по услуге Предоставлять меру социальной поддержки в виде ежемесячного пособия на ребенка-инвалида в возрасте до 18 лет из семьи, где оба законных представителя (единственный законный представитель) являются инвалидами I и(или) II групп, на приобретение товаров детского (подросткового) ассортимента, продуктов детского питания, специальных молочных продуктов?
","1. Документы, содержащие данные органов регистрационного учета заявителя и ребенка (детей), 2. Документы, подтверждающие наличие в семье детей. 3. Свидетельство о заключении (расторжении) брака, 4. Согласие на обработку персональных данных лица, не являющегося заявителем (представителем заявителя), 5. СНИЛС, 6. Реквизиты счета.  7. Справки об установлении инвалидности обоих законных представителей (единственного законного представителя). 8. Справка МСЭ об установлении группы инвалидности на ребенка."
"Какие основания для отказа в приеме документов по услуге Предоставлять меру социальной поддержки в виде ежемесячного пособия на ребенка-инвалида в возрасте до 18 лет из семьи, где оба законных представителя (единственный законный представитель) являются инвалидами I и(или) II групп, на приобретение товаров детского (подросткового) ассортимента, продуктов детского питания, специальных молочных продуктов?
","непредставление заявителем (представителем) документа, удостоверяющего личность, или представление документа, удостоверяющего личность, с истекшим сроком действия или недействительного документа, удостоверяющего личность;
непредставление представителем документов, подтверждающих его полномочия по представлению интересов заявителя"
"Какие основания для отказа в предоставлении услуги  Предоставлять меру социальной поддержки в виде ежемесячного пособия на ребенка-инвалида в возрасте до 18 лет из семьи, где оба законных представителя (единственный законный представитель) являются инвалидами I и(или) II групп, на приобретение товаров детского (подросткового) ассортимента, продуктов детского питания, специальных молочных продуктов?
"," непредставление заявителем (представителем) документа, удостоверяющего личность, или представление документа, удостоверяющего личность, с истекшим сроком действия или недействительного документа, удостоверяющего личность;
- непредставление представителем документов, подтверждающих его полномочия по представлению интересов заявителя;
- непредставление заявителем (представителем) согласия на обработку персональных данных лица, не являющегося заявителем (представителем) для предоставления государственной услуги необходима обработка персональных данных такого лица (лицо, который является отцом либо матерью ребенка в зависимости кто подает заявление на получение государственной услуги)."
"Срок предоставления услуги Предоставлять меру социальной поддержки в виде ежемесячного пособия на ребенка-инвалида в возрасте до 18 лет из семьи, где оба законных представителя (единственный законный представитель) являются инвалидами I и(или) II групп, на приобретение товаров детского (подросткового) ассортимента, продуктов детского питания, специальных молочных продуктов?
","не более 29 рабочих дней с даты регистрации заявления.
Срок принятия администрацией района решение о назначении пособия или об отказе в его назначении - 10 рабочих дней со дня подачи заявления и документов в случае, если указанные документы не требуют проверки содержащихся в них сведений."
"В каком случае учитываются в составе семьи пасынки и падчерицы по услуге Предоставлять меру социальной поддержки в виде ежемесячного пособия на ребенка-инвалида в возрасте до 18 лет из семьи, где оба законных представителя (единственный законный представитель) являются инвалидами I и(или) II групп, на приобретение товаров детского (подросткового) ассортимента, продуктов детского питания, специальных молочных продуктов?
","Только в случаях, прямо предусмотренных Социальным кодексом и Порядками №1 
и № 2. Пасынки и падчерицы учитываются в составе семьи, если они проживают совместно.
Пасынки и падчерицы – это ребенок (дети) одного из супругов по отношению 
к другому супругу, только в случае если брак между ними заключен.
"
"Необходимо ли легализовывать документы, выданные на территории иностранного государства (проставлять «апостиль») по услуге Предоставлять меру социальной поддержки в виде ежемесячного пособия на ребенка-инвалида в возрасте до 18 лет из семьи, где оба законных представителя (единственный законный представитель) являются инвалидами I и(или) II групп, на приобретение товаров детского (подросткового) ассортимента, продуктов детского питания, специальных молочных продуктов?
","На документах должен быть проставлен «апостиль» в соответствии с Гаагской конвенцией, отменяющей требование легализации иностранных официальных документов либо справка должна быть легализована консульским учреждением Российской Федерации за пределами территории Российской Федерации (Российская Федерация присоединилась 
к Гаагской конвенции с 31.05.1992).
В случае если между иностранным государством и Российской Федерацией заключен договор, отменяющий или упрощающий данную процедуру, или освобождает документ от легализации (второй абзац статьи 3 Гаагской конвенции), проставление «апостиль» 
не требуется, достаточно нотариально заверенного перевода на русский язык.
"
"В случае установления места жительства семьи в Санкт-Петербурге по решению суда по услуге
а) администрация какого района принимает решение?
б) сроки назначения?
 Предоставлять меру социальной поддержки в виде ежемесячного пособия на ребенка-инвалида в возрасте до 18 лет из семьи, где оба законных представителя (единственный законный представитель) являются инвалидами I и(или) II групп, на приобретение товаров детского (подросткового) ассортимента, продуктов детского питания, специальных молочных продуктов?
","В случае установления места жительства семьи в Санкт-Петербурге по решению суда:
а) решение принимается администрацией района по месту жительства семьи, который указан в решении суда (как по аналогии с лицами «БОМЖ»);
б) пособия назначаются по срокам, как лицам, имеющим место жительства в Санкт-Петербурге. 
"
"При одновременном рождении двух и более детей каким образом устанавливается очередность рождения детей по услуге Предоставлять меру социальной поддержки в виде ежемесячного пособия на ребенка-инвалида в возрасте до 18 лет из семьи, где оба законных представителя (единственный законный представитель) являются инвалидами I и(или) II групп, на приобретение товаров детского (подросткового) ассортимента, продуктов детского питания, специальных молочных продуктов?
","В соответствии с информацией, полученной посредством межведомственного взаимодействия от органов ЗАГСа, очередность рождения детей можно определить по актовой записи в свидетельствах о рождении.
"
"Какие основания для получения услуги Ежемесячное пособие на ребенка-инвалида из семьи, где оба родителя являются инвалидами I и (или) II групп?","Ежемесячное пособие предоставляется со дня установления инвалидности обоим законным представителям (единственному законному представителю), если обращение последовало не позднее шести месяцев со дня возникновения прав, не считая месяца подачи заявления.
При обращении, последовавшем после истечения указанного срока, государственная услуга назначается и выплачивается за истекшее время, но не более чем за шесть месяцев до месяца, в котором подано заявление со всеми необходимыми документами.

При наличии в семье двух и более детей ежемесячное пособие назначается на каждого ребенка.

Ежемесячное пособие назначается по месяц исполнения ребенку (детям) возраста 18 лет. Назначение и выплата пособия осуществляется на срок, указанный в справке медико-социальной экспертизы на ребенка-инвалида и обоих родителей-инвалидов (единственного родителя-инвалида).

"
"Какие условия являются обязательными для получения услуги Ежемесячное пособие на ребенка-инвалида из семьи, где оба родителя являются инвалидами I и (или) II групп?","Заявителем является законный представитель (родитель, усыновитель, опекун, попечитель) ребенка-инвалида в возрасте от рождения до 18 лет, из семьи, где оба законных представителя (единственный законный представитель) являются инвалидами I и(или) II групп, при условии, что заявитель и ребенок, в отношении которого подается заявление, являются гражданами Российской Федерации, имеющими место жительства или место пребывания в Санкт-Петербурге, гражданами без определенного места жительства, лицами без гражданства, в том числе беженцами, имеющими место жительства или место пребывания в Санкт-Петербурге, иностранными гражданами, имеющими место жительства в Санкт-Петербурге.
"
"Как оформлять услугу при рождении (усыновлении) нескольких детей по услуге Ежемесячное пособие на ребенка-инвалида из семьи, где оба родителя являются инвалидами I и (или) II групп?",При наличии в семье двух и более детей пособие назначается на каждого ребенка. 
"Какая сумма выплат по услуге Ежемесячное пособие на ребенка-инвалида из семьи, где оба родителя являются инвалидами I и (или) II групп?","Ежемесячное пособие на ребенка-инв. из семьи, где оба родителя инв. I, II гр в 2023 году - 11969 руб."
"Кому не положено услуга Ежемесячное пособие на ребенка-инвалида из семьи, где оба родителя являются инвалидами I и (или) II групп?","Гражданам, дети которых находятся на полном государственном обеспечении;
гражданам, лишенным родительских прав (ограниченных в родительских правах);
гражданам Российской Федерации, выехавшим на постоянное место жительства за пределы Российской Федерации."
"Какие документы удостоверяют личность по услуге Ежемесячное пособие на ребенка-инвалида из семьи, где оба родителя являются инвалидами I и (или) II групп?","Паспорт гражданина РФ или временное удостоверение личности гражданина РФ, выдаваемое на период оформления паспорта (не должно быть просрочено)."
"Какие документы предоставить при обращении представителя по услуге Ежемесячное пособие на ребенка-инвалида из семьи, где оба родителя являются инвалидами I и (или) II групп?","1. Документ, удостоверяющий личность доверенного лица по доверенности  2. Нотариально удостоверенная, приравненная к нотариально удостоверенной или удостоверенная организацией, в которой доверитель работает или учится, или администрацией стационарного лечебного учреждения, в котором он находится на излечении. Или простая письменная доверенность"
"Какие заявления брать у заявителя по услуге Ежемесячное пособие на ребенка-инвалида из семьи, где оба родителя являются инвалидами I и (или) II групп?",Заявление о назначении выплаты.
"Какие дополнительно документы должен предоставить заявитель по услуге Ежемесячное пособие на ребенка-инвалида из семьи, где оба родителя являются инвалидами I и (или) II групп?","1. Документы, содержащие данные органов регистрационного учета заявителя и ребенка (детей), 2. Документы, подтверждающие наличие в семье детей. 3. Свидетельство о заключении (расторжении) брака, 4. Согласие на обработку персональных данных лица, не являющегося заявителем (представителем заявителя), 5. СНИЛС, 6. Реквизиты счета.  7. Справки об установлении инвалидности обоих законных представителей (единственного законного представителя). 8. Справка МСЭ об установлении группы инвалидности на ребенка."
"Какие основания для отказа в приеме документов по услуге Ежемесячное пособие на ребенка-инвалида из семьи, где оба родителя являются инвалидами I и (или) II групп?","непредставление заявителем (представителем) документа, удостоверяющего личность, или представление документа, удостоверяющего личность, с истекшим сроком действия или недействительного документа, удостоверяющего личность;
непредставление представителем документов, подтверждающих его полномочия по представлению интересов заявителя"
"Какие основания для отказа в предоставлении услуги  Ежемесячное пособие на ребенка-инвалида из семьи, где оба родителя являются инвалидами I и (или) II групп?"," непредставление заявителем (представителем) документа, удостоверяющего личность, или представление документа, удостоверяющего личность, с истекшим сроком действия или недействительного документа, удостоверяющего личность;
- непредставление представителем документов, подтверждающих его полномочия по представлению интересов заявителя;
- непредставление заявителем (представителем) согласия на обработку персональных данных лица, не являющегося заявителем (представителем) для предоставления государственной услуги необходима обработка персональных данных такого лица (лицо, который является отцом либо матерью ребенка в зависимости кто подает заявление на получение государственной услуги)."
"Срок предоставления услуги Ежемесячное пособие на ребенка-инвалида из семьи, где оба родителя являются инвалидами I и (или) II групп?","не более 29 рабочих дней с даты регистрации заявления.
Срок принятия администрацией района решение о назначении пособия или об отказе в его назначении - 10 рабочих дней со дня подачи заявления и документов в случае, если указанные документы не требуют проверки содержащихся в них сведений."
"В каком случае учитываются в составе семьи пасынки и падчерицы по услуге Ежемесячное пособие на ребенка-инвалида из семьи, где оба родителя являются инвалидами I и (или) II групп?","Только в случаях, прямо предусмотренных Социальным кодексом и Порядками №1 
и № 2. Пасынки и падчерицы учитываются в составе семьи, если они проживают совместно.
Пасынки и падчерицы – это ребенок (дети) одного из супругов по отношению 
к другому супругу, только в случае если брак между ними заключен.
"
"Необходимо ли легализовывать документы, выданные на территории иностранного государства (проставлять «апостиль») по услуге Ежемесячное пособие на ребенка-инвалида из семьи, где оба родителя являются инвалидами I и (или) II групп?","На документах должен быть проставлен «апостиль» в соответствии с Гаагской конвенцией, отменяющей требование легализации иностранных официальных документов либо справка должна быть легализована консульским учреждением Российской Федерации за пределами территории Российской Федерации (Российская Федерация присоединилась 
к Гаагской конвенции с 31.05.1992).
В случае если между иностранным государством и Российской Федерацией заключен договор, отменяющий или упрощающий данную процедуру, или освобождает документ от легализации (второй абзац статьи 3 Гаагской конвенции), проставление «апостиль» 
не требуется, достаточно нотариально заверенного перевода на русский язык.
"
"В случае установления места жительства семьи в Санкт-Петербурге по решению суда по услуге
а) администрация какого района принимает решение?
б) сроки назначения?
 Ежемесячное пособие на ребенка-инвалида из семьи, где оба родителя являются инвалидами I и (или) II групп?","В случае установления места жительства семьи в Санкт-Петербурге по решению суда:
а) решение принимается администрацией района по месту жительства семьи, который указан в решении суда (как по аналогии с лицами «БОМЖ»);
б) пособия назначаются по срокам, как лицам, имеющим место жительства в Санкт-Петербурге. 
"
"При одновременном рождении двух и более детей каким образом устанавливается очередность рождения детей по услуге Ежемесячное пособие на ребенка-инвалида из семьи, где оба родителя являются инвалидами I и (или) II групп?","В соответствии с информацией, полученной посредством межведомственного взаимодействия от органов ЗАГСа, очередность рождения детей можно определить по актовой записи в свидетельствах о рождении.
"
"Какие основания для получения услуги ""Родитель с инвалидностью, ребенок-инвалид""?","Ежемесячное пособие предоставляется со дня установления инвалидности обоим законным представителям (единственному законному представителю), если обращение последовало не позднее шести месяцев со дня возникновения прав, не считая месяца подачи заявления.
При обращении, последовавшем после истечения указанного срока, государственная услуга назначается и выплачивается за истекшее время, но не более чем за шесть месяцев до месяца, в котором подано заявление со всеми необходимыми документами.

При наличии в семье двух и более детей ежемесячное пособие назначается на каждого ребенка.

Ежемесячное пособие назначается по месяц исполнения ребенку (детям) возраста 18 лет. Назначение и выплата пособия осуществляется на срок, указанный в справке медико-социальной экспертизы на ребенка-инвалида и обоих родителей-инвалидов (единственного родителя-инвалида).

"
"Какие условия являются обязательными для получения услуги ""Родитель с инвалидностью, ребенок-инвалид""?","Заявителем является законный представитель (родитель, усыновитель, опекун, попечитель) ребенка-инвалида в возрасте от рождения до 18 лет, из семьи, где оба законных представителя (единственный законный представитель) являются инвалидами I и(или) II групп, при условии, что заявитель и ребенок, в отношении которого подается заявление, являются гражданами Российской Федерации, имеющими место жительства или место пребывания в Санкт-Петербурге, гражданами без определенного места жительства, лицами без гражданства, в том числе беженцами, имеющими место жительства или место пребывания в Санкт-Петербурге, иностранными гражданами, имеющими место жительства в Санкт-Петербурге.
"
"Как оформлять услугу при рождении (усыновлении) нескольких детей по услуге ""Родитель с инвалидностью, ребенок-инвалид""?",При наличии в семье двух и более детей пособие назначается на каждого ребенка. 
"Какая сумма выплат по услуге ""Родитель с инвалидностью, ребенок-инвалид""?","Ежемесячное пособие на ребенка-инв. из семьи, где оба родителя инв. I, II гр в 2023 году - 11969 руб."
"Кому не положено услуга ""Родитель с инвалидностью, ребенок-инвалид""?","Гражданам, дети которых находятся на полном государственном обеспечении;
гражданам, лишенным родительских прав (ограниченных в родительских правах);
гражданам Российской Федерации, выехавшим на постоянное место жительства за пределы Российской Федерации."
"Какие документы удостоверяют личность по услуге ""Родитель с инвалидностью, ребенок-инвалид""?","Паспорт гражданина РФ или временное удостоверение личности гражданина РФ, выдаваемое на период оформления паспорта (не должно быть просрочено)."
"Какие документы предоставить при обращении представителя по услуге ""Родитель с инвалидностью, ребенок-инвалид""?","1. Документ, удостоверяющий личность доверенного лица по доверенности  2. Нотариально удостоверенная, приравненная к нотариально удостоверенной или удостоверенная организацией, в которой доверитель работает или учится, или администрацией стационарного лечебного учреждения, в котором он находится на излечении. Или простая письменная доверенность"
"Какие заявления брать у заявителя по услуге ""Родитель с инвалидностью, ребенок-инвалид""?",Заявление о назначении выплаты.
"Какие дополнительно документы должен предоставить заявитель по услуге ""Родитель с инвалидностью, ребенок-инвалид""?","1. Документы, содержащие данные органов регистрационного учета заявителя и ребенка (детей), 2. Документы, подтверждающие наличие в семье детей. 3. Свидетельство о заключении (расторжении) брака, 4. Согласие на обработку персональных данных лица, не являющегося заявителем (представителем заявителя), 5. СНИЛС, 6. Реквизиты счета.  7. Справки об установлении инвалидности обоих законных представителей (единственного законного представителя). 8. Справка МСЭ об установлении группы инвалидности на ребенка."
"Какие основания для отказа в приеме документов по услуге ""Родитель с инвалидностью, ребенок-инвалид""?","непредставление заявителем (представителем) документа, удостоверяющего личность, или представление документа, удостоверяющего личность, с истекшим сроком действия или недействительного документа, удостоверяющего личность;
непредставление представителем документов, подтверждающих его полномочия по представлению интересов заявителя"
"Какие основания для отказа в предоставлении услуги  ""Родитель с инвалидностью, ребенок-инвалид""?"," непредставление заявителем (представителем) документа, удостоверяющего личность, или представление документа, удостоверяющего личность, с истекшим сроком действия или недействительного документа, удостоверяющего личность;
- непредставление представителем документов, подтверждающих его полномочия по представлению интересов заявителя;
- непредставление заявителем (представителем) согласия на обработку персональных данных лица, не являющегося заявителем (представителем) для предоставления государственной услуги необходима обработка персональных данных такого лица (лицо, который является отцом либо матерью ребенка в зависимости кто подает заявление на получение государственной услуги)."
"Срок предоставления услуги ""Родитель с инвалидностью, ребенок-инвалид""?","не более 29 рабочих дней с даты регистрации заявления.
Срок принятия администрацией района решение о назначении пособия или об отказе в его назначении - 10 рабочих дней со дня подачи заявления и документов в случае, если указанные документы не требуют проверки содержащихся в них сведений."
"В каком случае учитываются в составе семьи пасынки и падчерицы по услуге ""Родитель с инвалидностью, ребенок-инвалид""?","Только в случаях, прямо предусмотренных Социальным кодексом и Порядками №1 
и № 2. Пасынки и падчерицы учитываются в составе семьи, если они проживают совместно.
Пасынки и падчерицы – это ребенок (дети) одного из супругов по отношению 
к другому супругу, только в случае если брак между ними заключен.
"
"Необходимо ли легализовывать документы, выданные на территории иностранного государства (проставлять «апостиль») по услуге ""Родитель с инвалидностью, ребенок-инвалид""?","На документах должен быть проставлен «апостиль» в соответствии с Гаагской конвенцией, отменяющей требование легализации иностранных официальных документов либо справка должна быть легализована консульским учреждением Российской Федерации за пределами территории Российской Федерации (Российская Федерация присоединилась 
к Гаагской конвенции с 31.05.1992).
В случае если между иностранным государством и Российской Федерацией заключен договор, отменяющий или упрощающий данную процедуру, или освобождает документ от легализации (второй абзац статьи 3 Гаагской конвенции), проставление «апостиль» 
не требуется, достаточно нотариально заверенного перевода на русский язык.
"
